"portal","url","source","http_status","status_class","category","body_len","php_error","is_blank","final_url","notes"
"marketing","https://olasentra.com/staff-google-signin.php","root:staff-google-signin.php","200","ok","ok","950375","False","False","https://accounts.google.com/v3/signin/identifier?opparams=%253F&dsh=S571239729:1782138088541207&access_type=online&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com&o2v=2&prompt=select_account&redirect_uri=https://register.olasentra.com/staff-google-oauth-callback.php&response_type=code&scope=openid+email+profile&service=lso&state=d4c6565dffa5c7996dfc59349bb59674&flowName=GeneralOAuthLite&continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser=unknown&part=AJi8hAN_7UqCj7KrSd6WSqVuLizP2sWzk3fxWe6aFlsjvy8HNwFCCoDGP0Ku2PAbEMMWbDebemQEJKfqYA_X-wLtFmYl08sly--rx4a7b8pQSaAzJG9QhGphUOo_i8GguT3LV_e4iqWZznpyQmstVAUzw3XvoE_1WIjpEiRpSHVS5scLZD6nhhyW4DVORmX8f1aQ1XkkbXOE7v26IJlvAGINuAlS7neY4LyDN9rZVfDnbas_B26ZNOyrrnkHZ3aYxK25feEZo6wZZ54C1A7GaoxkxFEkfyPT3dPVjelk68DWPwQWJSQettDTYQ-4Z6alDkVFg2gqju38kRDBNbqOcStdsMIwdILuFqcJB-TDZCmSAuwL73IrHY_ROD9zt998sHr3cxj13NTi3G7ihjxuNEY1GOKPDM8HaeOEdELt3KwaOc9n43Y9OnpNyltO25v5sXz4T7FAbTy_OoJs7eTODwBcVoulICujBTJVEHMdunXGMUiZfiBQzGU&flowName=GeneralOAuthFlow&as=S571239729%253A1782138088541207&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com%23&app_domain=https://register.olasentra.com&rart=ANgoxccHb80_vGURGV9JZChJbXHHHLGDTDZtZNHPWX4xzRdAMxTSgXwqTZDrkwi-IL2BoTGHE0wcK2XfWzD53SY6Lhr-jVwk_w-f_rZk5i2ngvL2dBM1kiQ",""
"register","https://register.olasentra.com/staff-leave.php","root:staff-leave.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-leave.php","root:staff-leave.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-messages.php","root:staff-messages.php","200","ok","auth_redirect","11432","False","False","https://register.olasentra.com/staff-app.php?return=staff-messages.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-messages.php","root:staff-messages.php","200","ok","auth_redirect","11432","False","False","https://olasentra.com/staff-app.php?return=staff-messages.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-notifications.php","root:staff-notifications.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-notifications.php","root:staff-notifications.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-portal.php","root:staff-portal.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-portal.php","root:staff-portal.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-profile-hub.php","root:staff-profile-hub.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-profile-hub.php","root:staff-profile-hub.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-profile.php","root:staff-profile.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-profile.php","root:staff-profile.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-self-service.php","root:staff-self-service.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-self-service.php","root:staff-self-service.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-settings.php","root:staff-settings.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-settings.php","root:staff-settings.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-shifts.php","root:staff-shifts.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-shifts.php","root:staff-shifts.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-signout.php","root:staff-signout.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-signout.php","root:staff-signout.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-support.php","root:staff-support.php","200","ok","auth_redirect","11432","False","False","https://register.olasentra.com/staff-app.php?return=staff-messages.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-support.php","root:staff-support.php","200","ok","auth_redirect","11432","False","False","https://olasentra.com/staff-app.php?return=staff-messages.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/status.php","root:status.php","200","ok","ok","5569","False","False","https://register.olasentra.com/status.php",""
"marketing","https://olasentra.com/status.php","root:status.php","200","ok","ok","5569","False","False","https://olasentra.com/status.php",""
"register","https://register.olasentra.com/submit.php","root:submit.php","200","ok","ok","101666","False","False","https://register.olasentra.com/index.php",""
"marketing","https://olasentra.com/submit.php","root:submit.php","200","ok","ok","101657","False","False","https://register.olasentra.com/",""
"register","https://register.olasentra.com/terms.php","root:terms.php","200","ok","ok","4202","False","False","https://olasentra.com/terms.php",""
